SeniorCitizen,tenure,MonthlyCharges,TotalCharges,AvgMonthlySpend,TotalServices,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes
0,-1.285566089167874,-1.165522543236504,-0.9972842175267818,-1.161687689822636,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0.060345819010170096,-0.26407096544550474,-0.1768476700945268,-0.3088679060328449,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
0,-1.2447808798291453,-0.36718904260978885,-0.9627399851906187,-0.3585490951296774,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0.5089831217361848,-0.7513870397863956,-0.19835509444175473,-0.7951595844588044,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,-1.2447808798291453,0.1933076026218841,-0.9435487450038614,0.362535092055951,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,-1.0000696237967737,1.1562973877528593,-0.6484668829598942,1.2489713428548355,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-0.4290766930545732,0.8053632864356988,-0.15042111176839437,0.7863698415772843,2,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,-0.9184992051193165,-1.1688489328224487,-0.8772617602208665,-1.1504155691953666,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-0.18436543702220157,1.3276064514290082,0.33339667100878545,1.455350610221757,4,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
0,1.2023316804945712,-0.29068208213306207,0.5283532006301191,-0.2862000476500961,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.7961435771031307,-0.49691823646163,-0.7512834007880269,-0.6531671348277137,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,-0.6737879490869448,-1.5280990081044703,-0.8662764296312057,-1.474157504269742,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1.0391908431396566,1.1795821148544714,1.4959225894941797,1.0960517652275386,3,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
0,0.6721239590910992,1.2910161659836175,1.2114510567948449,1.2562363125568348,4,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,-0.30672106503838736,1.350891178530621,0.17457261429079454,1.4107428505041357,5,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
0,1.4878281458656715,1.608686371441331,2.47271259720659,1.6421682317643933,6,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0.7944795871072851,-1.4715503851434115,-0.5591504099527906,-1.4991181107492444,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1.5693985645431285,1.3908078535619568,2.246432434176986,1.29581204709771,4,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
0,-0.9184992051193165,-0.32228278319953607,-0.7773570167658971,-0.39965918212324897,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,-0.46986190239330183,0.8369639875021729,-0.18858300317424495,0.7896995232497145,3,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,-1.285566089167874,-0.8395363638139287,-0.9929606737605696,-0.8367853893895714,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
0,-0.8369287864418593,-1.499824696623941,-0.9212251414762772,-1.5925423986027079,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
0,-1.285566089167874,-1.4881823330731347,-1.0015636434994608,-1.4832746606594451,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
0,1.0391908431396566,-0.16594247266013784,0.5359194022209901,-0.14776844191945124,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
0,0.6721239590910992,-0.17592164141797167,0.2999774424077082,-0.14161490088488055,3,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,-0.10279501834474433,-0.3189563936135916,-0.3351864310836572,-0.4598324142952912,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0.590553540413642,1.146318218995025,1.0847668126654804,1.1986859048563072,3,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-1.285566089167874,-1.1538801796856977,-0.9971298052494171,-1.1500840362357407,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,1.6101837738818572,0.8436167666740624,1.7996074212770379,0.7815789391493617,6,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
0,-0.6330027397482163,-0.006275772534794672,-0.5282017777895489,-0.01955664391252585,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
1,1.5693985645431285,1.0465265314166856,1.9749756505698193,1.0084990470165587,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
1,-1.2447808798291453,1.0182522199361563,-0.9303134069440289,0.8598345314943154,3,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0
0,-0.22515064636093016,0.041956876461402795,-0.18348739802120945,0.15032330039932035,4,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
0,-1.285566089167874,-1.4865191382801624,-1.0015415846026945,-1.4816169958613172,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
1,-1.285566089167874,-0.6532585470010285,-0.9904900773227343,-0.6511269319992486,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.6101837738818572,1.164613361717721,2.1888366547199474,1.1878219303016735,4,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,-1.1224252518129596,0.16004370676243765,-0.8706440911909503,-0.050057676198078924,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0.5497683310749134,0.3296895756456144,0.5549782890271491,0.40603077491117623,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0.060345819010170096,1.3791654900111503,0.5553974080657104,1.3095492402570088,4,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,-0.877713995780588,1.0964223752058553,-0.5227752891850175,1.1802912763324012,3,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,-0.9184992051193165,-0.5102237948054088,-0.8005850350609032,-0.5742112853661149,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,1.5286133552044,0.14341175883271443,1.13911993429786,0.15632159116884262,3,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
0,-0.6330027397482163,-1.4682239955574667,-0.8259307074454826,-1.335644983932056,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1.2431168898332998,0.497672249735819,1.1343110948027872,0.40698945199939635,5,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0
0,-0.7961435771031307,0.37625902984883963,-0.5774592942688924,0.3516327581913406,4,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0.6721239590910992,0.6523493654822452,0.7130964610486155,0.49195135093836334,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,-1.2447808798291453,-0.5202029635632426,-0.9676591191695231,-0.5433787201209364,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,-1.2447808798291453,0.5242833664233765,-0.9468575795188195,0.23821023219635992,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0.7944795871072851,0.4943458601498745,0.8503469167290794,0.5378012662887796,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0
0,1.4878281458656715,-0.024570915257490132,0.8663616757814769,-0.10729275757575779,3,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0
1,0.4274127030587276,0.8436167666740624,0.6831184203430948,0.808389097236137,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,-0.7145731584256735,1.1380022450301635,-0.3811571719448089,1.0013438497611655,4,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1
1,-0.30672106503838736,0.15339092759054826,-0.23722287054412966,0.17293139244608413,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
1,-1.0000696237967737,0.5242833664233765,-0.7310553924532495,0.4731842173309868,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1,1.1207612618171139,0.33135277043858663,0.9555899132015149,0.3110646000740805,5,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0
1,-0.5922175304094877,1.0165890251431842,-0.2372669883376625,1.076620250093928,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
0,1.2431168898332998,1.1562973877528593,1.7739088065441964,1.169909941233014,3,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
1,1.3654725178494855,1.4490196713159882,2.1114761037602268,1.403297423947211,5,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
0,0.060345819010170096,-1.3285156329477916,-0.615907951332706,-1.2792843807957084,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0
0,1.6101837738818572,1.417418970249514,2.454425771787254,1.4650203215441695,4,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0
0,0.590553540413642,1.1845716992333886,1.0662152804849487,1.1690242858089557,3,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,1.1207612618171139,0.8319744031232563,1.3942751931946653,0.8604975974135665,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1.6101837738818572,-0.7580398189582848,0.29631566554448774,-0.7874238154008745,3,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.5922175304094877,-0.3488938998870934,-0.5882019769941232,-0.3884791539847642,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
